"generated_id","Loyaltyvirtue","Authorityvice","Loyaltyvice","Fairnessvice","Carevirtue","Authorityvirtue","Purityvice","Purityvirtue","Carevice","Fairnessvirtue","author","date.enter","date.exit","followers","guid","date","retweets","favorites","bioname","chamber","district_code","state_abbrev","dim1","dim2","log_likelihood","geo_mean_probability","number_of_votes","number_of_errors","C114","C115","affiliation","Party","partyd","retweets_T","favorites_T"
"416183","0.251503687079853","0.32698664969528","0.273050713915223","0.296543511807289","0.24543957625475","0.357100589400006","0.212513424837643","0.285185784213586","0.397298652215959","0.284669932026577","danarohrabacher","1989-01-03","","36272","682773045136769024","2016-01-01 03:59:13","3","2","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","1.38629436111989","1.09861228866811"
"416184","0.336946258896155","0.497559993579174","0.435621780682257","0.365089998035971","0.295940745021638","0.327764022377661","0.350583877127578","0.297868207809096","0.411551028874128","0.286222284002924","danarohrabacher","1989-01-03","","36272","682774733893537792","2016-01-01 04:05:56","0","0","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","0","0"
"416185","0.201121970692002","0.236888588194254","0.206975873865364","0.224390189749895","0.212164680204297","0.295328781155211","0.154354100666501","0.191607325356494","0.258737862317231","0.193892822847756","danarohrabacher","1989-01-03","","36272","682776077719212032","2016-01-01 04:11:16","0","0","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","0","0"
"416186","0.333815848953292","0.403248800270604","0.408946119376961","0.344525135242552","0.258971517630858","0.323222968618726","0.257289705271142","0.286445235761371","0.337217529544513","0.307068215086137","danarohrabacher","1989-01-03","","36272","682777546300207104","2016-01-01 04:17:07","0","0","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","0","0"
"416187","0.248253758641313","0.283326306274613","0.254033287857666","0.320502725215942","0.248090779634922","0.358821143639782","0.1343823940132","0.228544408743959","0.327012972641429","0.30007543248643","danarohrabacher","1989-01-03","","36272","682778070701453312","2016-01-01 04:19:12","0","0","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","0","0"
"416188","0.217818791847659","0.188420398593969","0.159263711271128","0.183269292991101","0.202988046143872","0.253415594047694","0.0403142725720892","0.16448927968426","0.190185044507081","0.183707374952583","amyklobuchar","2007-01-03","","401354","682778842818166784","2016-01-01 04:22:16","7","67","KLOBUCHAR, Amy","Senate","0","MN","-0.24","-0.176","-13.61245","0.92305","170","3","TRUE","TRUE","D","Democratic","1","2.07944154167984","4.21950770517611"
"416189","0.246656299536456","0.172363114254458","0.121612239653813","0.176071959074855","0.22283723772257","0.314217667533567","0.0491382652154192","0.256025168582735","0.242799338545559","0.203357883058602","senatorcollins","1997-01-03","","376894","682779794979819520","2016-01-01 04:26:03","9","23","COLLINS, Susan Margaret","Senate","0","ME","0.107","-0.574","-30.47974","0.83586","170","16","TRUE","TRUE","R","Republican","0","2.30258509299405","3.17805383034795"
"416190","0.177513418618737","0.165881968978378","0.15223137648843","0.157452879541586","0.151553786732091","0.208443682071605","0.105969102682974","0.24420657050252","0.278756538918035","0.188731896017973","normajtorres","2015-01-03","","11001","682787988930052096","2016-01-01 04:58:36","2","0","TORRES, Norma Judith","House","35","CA","-0.366","0.032","-26.29677","0.92993","362","13","TRUE","TRUE","D","Democratic","1","1.09861228866811","0"
"416191","0.2336277886935","0.135489587721469","0.0915281400917159","0.187847257713321","0.184749855032162","0.171931994390608","0.104756641809402","0.23034465417708","0.233903339748086","0.180585053530861","gopleader","2007-01-03","","139880","682788355407392768","2016-01-01 05:00:04","12","29","MCCARTHY, Kevin","House","23","CA","0.462","0.192","-15.70931","0.95776","364","2","TRUE","TRUE","R","Republican","0","2.56494935746154","3.40119738166216"
"416192","0.108671615199862","0.106560998089148","0.0367584727090902","0.0350541585054367","0.076287898143855","0.173561814237774","-0.059296112798981","0.0667508073738027","0.0653395603653737","0.039299172100499","repadams","2014-11-04","","9346","682788475221835776","2016-01-01 05:00:32","3","3","ADAMS, Alma","House","12","NC","-0.462","0.009","-19.62187","0.94794","367","9","TRUE","TRUE","D","Democratic","1","1.38629436111989","1.38629436111989"
"416193","0.299012535641814","0.252754084209603","0.192885797163243","0.143406920773173","0.332834128437137","0.269338906659217","0.141280629101297","0.301049892780575","0.201382396881044","0.28560679449213","nikiinthehouse","2007-10-16","","20715","682788614393036800","2016-01-01 05:01:05","1","9","TSONGAS, Nicola S. (Niki)","House","3","MA","-0.4","-0.182","-22.82667","0.93755","354","11","TRUE","TRUE","D","Democratic","1","0.693147180559945","2.30258509299405"
"416194","0.316045891276741","0.227313219027095","0.189626642684434","0.202118196663461","0.343188079182811","0.324424211723996","0.103385148883688","0.274379198718289","0.268272834249304","0.238561106219631","repmarcykaptur","1983-01-03","","15781","682788616599277568","2016-01-01 05:01:06","3","9","KAPTUR, Marcia Carolyn (Marcy)","House","9","OH","-0.35","0.118","-62.69893","0.84137","363","26","TRUE","TRUE","D","Democratic","1","1.38629436111989","2.30258509299405"
"416195","0.289894935474076","0.144523122731883","0.15940758329674","0.181613802374924","0.292298974240953","0.273171318843899","0.112629728257805","0.294085510180565","0.231991793014317","0.183809123110982","repwalberg","2007-01-03","","14552","682788654238990336","2016-01-01 05:01:15","0","3","WALBERG, Tim","House","7","MI","0.529","0.025","-24.18281","0.93623","367","17","TRUE","TRUE","R","Republican","0","0","1.38629436111989"
"416196","0.304172795053218","0.216735314232837","0.167035483103048","0.227098852249261","0.266371254026132","0.314215123343813","0.0970063368809206","0.22524809441501","0.27387855827074","0.187748790172103","repjohnlarson","1999-01-03","","21994","682788815027703808","2016-01-01 05:01:53","2","6","LARSON, John B.","House","1","CT","-0.401","-0.059","-31.41088","0.91509","354","15","TRUE","TRUE","D","Democratic","1","1.09861228866811","1.94591014905531"
"416197","0.344657321842105","0.272160007473633","0.206024419292752","0.240278395807526","0.409564735378325","0.360140821560831","0.191199882985811","0.365910389235249","0.281592314034507","0.328917906932459","repmarciafudge","2008-11-18","","30256","682788894073556992","2016-01-01 05:02:12","4","13","FUDGE, Marcia L.","House","11","OH","-0.583","0.105","-29.40283","0.92115","358","11","TRUE","TRUE","D","Democratic","1","1.6094379124341","2.63905732961526"
"416198","0.256721751386717","0.134548863284453","0.097166425722221","0.193129461883019","0.276168883302642","0.255665827383636","0.108890464271761","0.191875346565912","0.216848407673153","0.220987907611901","repgoodlatte","1993-01-03","","41922","682790876465074176","2016-01-01 05:10:05","5","8","GOODLATTE, Robert William","House","6","VA","0.493","-0.001","-19.09805","0.94916","366","5","TRUE","TRUE","R","Republican","0","1.79175946922806","2.19722457733622"
"416199","0.241468292390152","0.281115311635035","0.239578206033466","0.305389006940283","0.243508567881357","0.25535069306929","0.241789506021897","0.191529140941894","0.355937760793677","0.210371732193536","danarohrabacher","1989-01-03","","36272","682791821882298368","2016-01-01 05:13:50","0","0","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","0","0"
"416200","0.210012382254565","0.164091213693738","0.0878177818760258","0.132638286444187","0.205012688457087","0.264587378830425","-0.0125460517968124","0.187497792478158","0.192522737193467","0.150081261449901","susanwbrooks","2013-01-03","","16533","682792558360145920","2016-01-01 05:16:46","6","13","BROOKS, Susan","House","5","IN","0.381","0.314","-15.65217","0.95825","367","4","TRUE","TRUE","R","Republican","0","1.94591014905531","2.63905732961526"
"416201","0.286621526410956","0.16931992870729","0.148114580677917","0.219196935000195","0.288854674410449","0.295823873045015","0.067726582332638","0.263846429180204","0.255400415273873","0.226344153413611","repgracemeng","2013-01-03","","21287","682796235481321472","2016-01-01 05:31:22","3","8","MENG, Grace","House","6","NY","-0.382","-0.137","-25.05376","0.93295","361","9","TRUE","TRUE","D","Democratic","1","1.38629436111989","2.19722457733622"
"416202","0.0996280963115829","0.196430593634142","0.171348456068324","0.175026856766153","0.0819797048907718","0.20919778721397","0.0932057518696083","0.090653633283579","0.234515923955079","0.120431788375532","repmartharoby","2011-01-03","","28320","682798348496179200","2016-01-01 05:39:46","0","15","ROBY, Martha","House","2","AL","0.361","0.669","-13.33245","0.96442","368","2","TRUE","TRUE","R","Republican","0","0","2.77258872223978"
"416203","0.289662359969049","0.28436442274677","0.211380010140038","0.231844027959363","0.355045372087102","0.345016637441006","0.231244780100297","0.330238104996048","0.298470015597425","0.236827109240306","senatorlankford","2011-01-03","","59093","682799128573693952","2016-01-01 05:42:52","11","37","LANKFORD, James","Senate","0","OK","0.562","0.169","-3.13882","0.98171","170","2","TRUE","TRUE","R","Republican","0","2.484906649788","3.63758615972639"
"416204","0.293241458756202","0.147960728076331","0.156677453342677","0.166807996389182","0.345173081655824","0.300210067120455","0.115334271868735","0.266477126695679","0.211942904024394","0.12054839932541","congculberson","2001-01-03","","15192","682801642815787008","2016-01-01 05:52:52","3","6","CULBERSON, John","House","7","TX","0.504","0.38","-18.55119","0.95044","365","6","TRUE","TRUE","R","Republican","0","1.38629436111989","1.94591014905531"
"416205","0.183058524065826","0.168225190643213","0.100920538950589","0.115306561767181","0.150549647722852","0.260142420515872","0.0371623896819835","0.22994405001634","0.184392024625935","0.131634228009395","rodneydavis","2013-01-03","","15398","682803710385233920","2016-01-01 06:01:05","1","8","DAVIS, Rodney","House","13","IL","0.299","0.083","-25.7291","0.92628","336","14","TRUE","TRUE","R","Republican","0","0.693147180559945","2.19722457733622"
"416206","0.28121346745825","0.224612669555525","0.180240601566627","0.248711763376492","0.282205947560583","0.304703266424148","0.0905544988370884","0.219060128415869","0.289871290706071","0.228987164943115","amyklobuchar","2007-01-03","","401354","682804084047384576","2016-01-01 06:02:34","13","118","KLOBUCHAR, Amy","Senate","0","MN","-0.24","-0.176","-13.61245","0.92305","170","3","TRUE","TRUE","D","Democratic","1","2.63905732961526","4.77912349311153"
"416207","0.156545905897508","0.095252807564716","0.0528328286340685","0.063280068937732","0.127312263144991","0.206571425272434","-0.00644606883204342","0.151992140079126","0.105759764926692","0.0810903490883169","reperikpaulsen","2009-01-03","","19067","682804707253854208","2016-01-01 06:05:02","4","11","PAULSEN, Erik","House","3","MN","0.411","-0.201","-35.75984","0.9074","368","21","TRUE","TRUE","R","Republican","0","1.6094379124341","2.484906649788"
"416208","0.36956569759868","0.261170639875412","0.243067630167075","0.24654409513855","0.374309347332674","0.346561287690381","0.187206916845972","0.317775095015354","0.306856594759179","0.234819056117009","reploubarletta","2011-01-03","","21359","682809175773057024","2016-01-01 06:22:48","1","3","BARLETTA, Lou","House","11","PA","0.276","0.402","-15.54224","0.95607","346","3","TRUE","TRUE","R","Republican","0","0.693147180559945","1.38629436111989"
"416209","0.138204697992033","0.117943338491097","0.0425490868377451","0.0680476324188295","0.104350675884178","0.192995952429423","-0.0487971957511216","0.0812062139106264","0.115790176679336","0.0853335733888733","stevescalise","2008-05-03","","242918","682817142320947200","2016-01-01 06:54:27","2","2","SCALISE, Steve","House","1","LA","0.56","0.127","-7.42994","0.97106","253","2","TRUE","TRUE","R","Republican","0","1.09861228866811","1.09861228866811"
"416210","0.221181198285314","0.172089628849117","0.141469149288878","0.12839065241153","0.161408873088765","0.26573606257514","0.0497527094294209","0.240524547205728","0.159534019789904","0.13581390571241","repdelbene","2012-11-06","","22531","682817176521150464","2016-01-01 06:54:35","5","4","DelBENE, Suzan K.","House","1","WA","-0.277","-0.22","-29.09773","0.92398","368","11","TRUE","TRUE","D","Democratic","1","1.79175946922806","1.6094379124341"
"416211","0.108671615199862","0.106560998089148","0.0367584727090902","0.0350541585054367","0.076287898143855","0.173561814237774","-0.059296112798981","0.0667508073738027","0.0653395603653737","0.039299172100499","repbera","2013-01-03","","26850","682834063409950720","2016-01-01 08:01:41","3","9","BERA, Ami","House","7","CA","-0.223","-0.034","-45.49652","0.88341","367","20","TRUE","TRUE","D","Democratic","1","1.38629436111989","2.30258509299405"
"416212","0.108671615199862","0.106560998089148","0.0367584727090902","0.0350541585054367","0.076287898143855","0.173561814237774","-0.059296112798981","0.0667508073738027","0.0653395603653737","0.039299172100499","repkevinbrady","1997-01-03","","34478","682839632736841728","2016-01-01 08:23:49","5","0","BRADY, Kevin Patrick","House","8","TX","0.52","0.214","-12.81849","0.96463","356","4","TRUE","TRUE","R","Republican","0","1.79175946922806","0"
"416213","0.399805311246752","0.25581881892746","0.26538016968327","0.282457980593083","0.426666047734538","0.34624410759744","0.110678241713845","0.274578412681173","0.259049487266525","0.290798933668452","repkclark","2013-12-10","","56249","682863981954899968","2016-01-01 10:00:34","9","11","CLARK, Katherine M.","House","5","MA","-0.48","-0.479","-14.97762","0.9588","356","3","TRUE","TRUE","D","Democratic","1","2.30258509299405","2.484906649788"
"416214","0.192381066413142","0.154275442284249","0.0923642693584279","0.107915903933514","0.197088048461856","0.269085290695531","0.00543611456916538","0.209218757101972","0.167779251021847","0.112750663320824","repalexmooney","2015-01-03","","5943","682878236943081472","2016-01-01 10:57:13","0","7","MOONEY, Alex X.","House","2","WV","0.569","-0.238","-45.53368","0.88302","366","16","TRUE","TRUE","R","Republican","0","0","2.07944154167984"
"416215","0.285744402263269","0.197232171575944","0.138735151611878","0.224224149596007","0.313685194282214","0.354770308369353","0.0868084828314831","0.223608982283451","0.280089270935807","0.259217193132161","reploudermilk","2015-01-03","","9751","682882779420454912","2016-01-01 11:15:16","2","3","LOUDERMILK, Barry D.","House","11","GA","0.669","-0.077","-18.13405","0.95127","363","7","TRUE","TRUE","R","Republican","0","1.09861228866811","1.38629436111989"
"416216","0.108671615199862","0.106560998089148","0.0367584727090902","0.0350541585054367","0.076287898143855","0.173561814237774","-0.059296112798981","0.0667508073738027","0.0653395603653737","0.039299172100499","repryancostello","2015-01-03","","9577","682894070973218816","2016-01-01 12:00:08","2","3","COSTELLO, Ryan","House","6","PA","0.217","-0.038","-49.04911","0.86924","350","22","TRUE","TRUE","R","Republican","0","1.09861228866811","1.38629436111989"
"416217","0.283671119589118","0.205165201791623","0.159959931062359","0.194172389784163","0.302454899763225","0.337933598948922","0.0596348862770846","0.182766353807036","0.253657574998797","0.223157784602834","michaelcburgess","2003-01-03","","26123","682909207251714048","2016-01-01 13:00:17","4","6","BURGESS, Michael C.","House","26","TX","0.571","-0.233","-21.52265","0.94289","366","14","TRUE","TRUE","R","Republican","0","1.6094379124341","1.94591014905531"
"416218","0.28685216963343","0.227623073801683","0.230827414808962","0.251735885992099","0.251807273570685","0.33774385075062","0.120038464334843","0.268471740324507","0.282300139482153","0.229888382680761","senatortimscott","2011-01-03","","364068","682909244635529216","2016-01-01 13:00:26","20","110","SCOTT, Tim","Senate","0","SC","0.669","-0.011","-2.36931","0.98616","170","0","TRUE","TRUE","R","Republican","0","3.04452243772342","4.70953020131233"
"416219","0.119973898729385","0.110341880070013","0.0412531721646865","0.0611556525141084","0.194237417041132","0.116590362542503","-0.0608236577141342","0.0956332010581753","0.102980460612887","0.0969088716138294","repmarcykaptur","1983-01-03","","15781","682912664301928448","2016-01-01 13:14:01","8","9","KAPTUR, Marcia Carolyn (Marcy)","House","9","OH","-0.35","0.118","-62.69893","0.84137","363","26","TRUE","TRUE","D","Democratic","1","2.19722457733622","2.30258509299405"
